ID,GameID,Team,PlayerID,Number,Name,Min,FGM,FGA,FGP,FGM2,FGA2,FGP2,FGM3,FGA3,FGP3,FTM,FTA,FTP,Oreb,Dreb,Reb,Ast,PF,TO,STL,BLK,PTS
374975,422_14_01,CROATIA,1844,4,ante tomic,25,3,4,75,3,4,75,0,0,0,2,2,100,3,8,11,4,0,5,1,0,8
374976,422_14_01,CROATIA,1121,5,luksa andric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374977,422_14_01,CROATIA,25431,6,oliver lafayette,28,2,5,40,2,2,100,0,3,0,0,2,0,1,0,1,2,3,0,0,0,4
374978,422_14_01,CROATIA,6280,7,bojan bogdanovic,39,9,18,50,7,14,50,2,4,50,6,6,100,1,2,3,1,4,6,2,0,26
374979,422_14_01,CROATIA,15894,8,dario saric,29,4,8,50,4,5,80,0,3,0,2,2,100,4,5,9,4,5,3,1,1,10
374980,422_14_01,CROATIA,1846,9,damjan rudez,14,1,5,20,1,1,100,0,4,0,2,2,100,0,1,1,0,1,0,1,0,4
374981,422_14_01,CROATIA,4585,10,roko ukic,17,2,4,50,1,2,50,1,2,50,0,0,0,0,0,0,1,2,0,0,0,5
374982,422_14_01,CROATIA,1249,11,krunoslav simon,30,3,7,42.9,1,3,33.3,2,4,50,4,4,100,0,7,7,3,3,2,1,0,12
374983,422_14_01,CROATIA,1250,12,damir markota,14,2,5,40,1,2,50,1,3,33.3,0,0,0,1,3,4,1,2,0,0,2,5
374984,422_14_01,CROATIA,18415,13,mario hezonja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374985,422_14_01,CROATIA,16607,14,luka zoric,22,1,3,33.3,1,3,33.3,0,0,0,2,2,100,0,5,5,0,3,4,1,1,4
374986,422_14_01,CROATIA,13759,15,luka babic,7,1,2,50,0,0,0,1,2,50,0,0,0,0,1,1,0,0,0,0,0,3
374987,422_14_01,CROATIA,0,TOTALS,CROATIA,225,28,61,45.9,21,36,58.3,7,25,28,18,20,90,10,33,43,16,23,21,7,4,81
374988,422_14_01,PHILIPPINES,9696,4,jim alapag,24,1,4,25,0,0,0,1,4,25,1,1,100,1,1,2,6,1,0,1,0,4
374989,422_14_01,PHILIPPINES,23359,5,lewis tenorio,11,1,4,25,1,4,25,0,0,0,0,0,0,2,1,3,0,3,0,0,0,2
374990,422_14_01,PHILIPPINES,25432,6,jeff chan,30,5,10,50,1,4,25,4,6,66.7,3,3,100,0,1,1,0,1,2,4,0,17
374991,422_14_01,PHILIPPINES,23361,7,jayson william,14,2,8,25,1,4,25,1,4,25,1,2,50,0,1,1,2,3,1,0,0,6
374992,422_14_01,PHILIPPINES,23362,8,gary david,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374993,422_14_01,PHILIPPINES,18657,9,ranidel de ocampo,15,2,7,28.6,1,2,50,1,5,20,0,0,0,0,1,1,0,0,0,0,0,5
374994,422_14_01,PHILIPPINES,9700,10,gabe norwood,31,1,6,16.7,1,3,33.3,0,3,0,0,0,0,2,1,3,2,5,1,1,0,2
374995,422_14_01,PHILIPPINES,25433,11,andray blatche,41,10,24,41.7,7,20,35,3,4,75,5,7,71.4,1,11,12,0,3,7,1,0,28
374996,422_14_01,PHILIPPINES,23364,12,june mar fajardo,9,1,2,50,1,2,50,0,0,0,0,0,0,1,2,3,0,2,0,0,1,2
374997,422_14_01,PHILIPPINES,25434,13,paul dalistan,15,1,4,25,1,2,50,0,2,0,0,0,0,1,0,1,2,1,0,0,0,2
374998,422_14_01,PHILIPPINES,14184,14,japeth aguilar,5,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
374999,422_14_01,PHILIPPINES,23365,15,marc pingris,30,5,8,62.5,5,8,62.5,0,0,0,0,0,0,3,1,4,1,3,3,1,0,10
375000,422_14_01,PHILIPPINES,0,TOTALS,PHILIPPINES,225,29,79,36.7,19,51,37.3,10,28,35.7,10,13,76.9,14,24,38,13,23,15,8,1,78
375001,422_14_02,UKRAINE,5790,4,maksym pustozvonov,16,1,3,33.3,1,2,50,0,1,0,3,4,75,0,2,2,2,2,1,3,1,5
375002,422_14_02,UKRAINE,25435,5,"eugene ""pooh"" jeter",28,5,12,41.7,2,6,33.3,3,6,50,3,4,75,0,1,1,2,2,4,0,0,16
375003,422_14_02,UKRAINE,12946,6,olexandr mishula,14,3,5,60,1,2,50,2,3,66.7,0,0,0,0,0,0,1,0,0,0,0,8
375004,422_14_02,UKRAINE,22292,7,sviatoslav mykhailiuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375005,422_14_02,UKRAINE,7931,8,sergii gladyr,26,2,6,33.3,0,2,0,2,4,50,6,7,85.7,0,3,3,3,2,3,1,0,12
375006,422_14_02,UKRAINE,10926,9,oleksandr lypovyy,24,1,4,25,0,0,0,1,4,25,1,4,25,0,3,3,1,1,0,0,0,4
375007,422_14_02,UKRAINE,8223,10,kyryl natyazhko,20,1,6,16.7,1,6,16.7,0,0,0,0,0,0,1,5,6,1,1,2,1,0,2
375008,422_14_02,UKRAINE,1026,11,dmytro zabirchenko,14,1,2,50,0,0,0,1,2,50,0,0,0,0,0,0,0,3,1,0,0,3
375009,422_14_02,UKRAINE,5791,12,maxym kornienko,20,4,7,57.1,3,6,50,1,1,100,0,0,0,2,5,7,1,2,1,1,0,9
375010,422_14_02,UKRAINE,10713,13,ihor zaytsev,18,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0,0,0
375011,422_14_02,UKRAINE,19863,14,artem pustovyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
