GameID,TournamentID,Date,Location,Round of 16,HomeTeam,AwayTeam
422_14_01,422,2014-08-30,Sevilla,Group Phase,CROATIA,PHILIPPINES
422_14_02,422,2014-08-30,Bilbao,Group Phase,UKRAINE,DOMINICAN REPUBLIC
422_14_03,422,2014-08-30,Gran Canaria,Group Phase,ANGOLA,KOREA
422_14_04,422,2014-08-30,Granada,Group Phase,EGYPT,SERBIA
422_14_05,422,2014-08-30,Bilbao,Group Phase,NEW ZEALAND,TURKEY
422_14_06,422,2014-08-30,Gran Canaria,Group Phase,AUSTRALIA,SLOVENIA
422_14_07,422,2014-08-30,Sevilla,Group Phase,PUERTO RICO,ARGENTINA
422_14_08,422,2014-08-30,Granada,Group Phase,FRANCE,BRAZIL
422_14_09,422,2014-08-30,Gran Canaria,Group Phase,MEXICO,LITHUANIA
422_14_10,422,2014-08-30,Sevilla,Group Phase,GREECE,SENEGAL
422_14_11,422,2014-08-30,Bilbao,Group Phase,USA,FINLAND
422_14_12,422,2014-08-30,Granada,Group Phase,IRAN,SPAIN
422_14_13,422,2014-08-31,Bilbao,Group Phase,DOMINICAN REPUBLIC,NEW ZEALAND
422_14_14,422,2014-08-31,Gran Canaria,Group Phase,KOREA,AUSTRALIA
422_14_15,422,2014-08-31,Sevilla,Group Phase,ARGENTINA,CROATIA
422_14_16,422,2014-08-31,Granada,Group Phase,SERBIA,FRANCE
422_14_17,422,2014-08-31,Bilbao,Group Phase,FINLAND,UKRAINE
422_14_18,422,2014-08-31,Gran Canaria,Group Phase,SLOVENIA,MEXICO
422_14_19,422,2014-08-31,Sevilla,Group Phase,SENEGAL,PUERTO RICO
422_14_20,422,2014-08-31,Granada,Group Phase,BRAZIL,IRAN
422_14_21,422,2014-08-31,Gran Canaria,Group Phase,LITHUANIA,ANGOLA
422_14_22,422,2014-08-31,Sevilla,Group Phase,PHILIPPINES,GREECE
422_14_23,422,2014-08-31,Bilbao,Group Phase,TURKEY,USA
422_14_24,422,2014-08-31,Granada,Group Phase,SPAIN,EGYPT
422_14_25,422,2014-09-01,Sevilla,Group Phase,CROATIA,SENEGAL
422_14_26,422,2014-09-01,Granada,Group Phase,IRAN,SERBIA
422_14_27,422,2014-09-01,Sevilla,Group Phase,ARGENTINA,PHILIPPINES
422_14_28,422,2014-09-01,Granada,Group Phase,FRANCE,EGYPT
422_14_29,422,2014-09-01,Sevilla,Group Phase,PUERTO RICO,GREECE
422_14_30,422,2014-09-01,Granada,Group Phase,BRAZIL,SPAIN
422_14_31,422,2014-09-02,Gran Canaria,Group Phase,ANGOLA,MEXICO
422_14_32,422,2014-09-02,Bilbao,Group Phase,UKRAINE,TURKEY
422_14_33,422,2014-09-02,Gran Canaria,Group Phase,AUSTRALIA,LITHUANIA
422_14_34,422,2014-09-02,Bilbao,Group Phase,USA,NEW ZEALAND
422_14_35,422,2014-09-02,Gran Canaria,Group Phase,KOREA,SLOVENIA
422_14_36,422,2014-09-02,Bilbao,Group Phase,FINLAND,DOMINICAN REPUBLIC
422_14_37,422,2014-09-03,Gran Canaria,Group Phase,MEXICO,AUSTRALIA
422_14_38,422,2014-09-03,Sevilla,Group Phase,PHILIPPINES,PUERTO RICO
422_14_39,422,2014-09-03,Bilbao,Group Phase,NEW ZEALAND,UKRAINE
422_14_40,422,2014-09-03,Granada,Group Phase,EGYPT,IRAN
422_14_41,422,2014-09-03,Gran Canaria,Group Phase,SLOVENIA,ANGOLA
422_14_42,422,2014-09-03,Sevilla,Group Phase,SENEGAL,ARGENTINA
422_14_43,422,2014-09-03,Bilbao,Group Phase,TURKEY,FINLAND
422_14_44,422,2014-09-03,Granada,Group Phase,SERBIA,BRAZIL
422_14_45,422,2014-09-03,Gran Canaria,Group Phase,LITHUANIA,KOREA
422_14_46,422,2014-09-03,Sevilla,Group Phase,GREECE,CROATIA
422_14_47,422,2014-09-03,Bilbao,Group Phase,DOMINICAN REPUBLIC,USA
422_14_48,422,2014-09-03,Granada,Group Phase,SPAIN,FRANCE
422_14_49,422,2014-09-04,Gran Canaria,Group Phase,AUSTRALIA,ANGOLA
422_14_50,422,2014-09-04,Sevilla,Group Phase,SENEGAL,PHILIPPINES
422_14_51,422,2014-09-04,Bilbao,Group Phase,FINLAND,NEW ZEALAND
422_14_52,422,2014-09-04,Granada,Group Phase,BRAZIL,EGYPT
422_14_53,422,2014-09-04,Gran Canaria,Group Phase,KOREA,MEXICO
422_14_54,422,2014-09-04,Bilbao,Group Phase,UKRAINE,USA
422_14_55,422,2014-09-04,Granada,Group Phase,IRAN,FRANCE
422_14_56,422,2014-09-04,Sevilla,Group Phase,CROATIA,PUERTO RICO
422_14_57,422,2014-09-04,Gran Canaria,Group Phase,LITHUANIA,SLOVENIA
422_14_58,422,2014-09-04,Bilbao,Group Phase,TURKEY,DOMINICAN REPUBLIC
422_14_59,422,2014-09-04,Granada,Group Phase,SERBIA,SPAIN
422_14_60,422,2014-09-04,Sevilla,Group Phase,ARGENTINA,GREECE
422_14_61,422,2014-09-06,Barcelona,Round of 16,USA,MEXICO
422_14_62,422,2014-09-06,Madrid,Round of 16,FRANCE,CROATIA
422_14_63,422,2014-09-06,Barcelona,Round of 16,DOMINICAN REPUBLIC,SLOVENIA
422_14_64,422,2014-09-06,Madrid,Round of 16,SPAIN,SENEGAL
422_14_65,422,2014-09-07,Barcelona,Round of 16,NEW ZEALAND,LITHUANIA
422_14_66,422,2014-09-07,Madrid,Round of 16,SERBIA,GREECE
422_14_67,422,2014-09-07,Barcelona,Round of 16,TURKEY,AUSTRALIA
422_14_68,422,2014-09-07,Madrid,Round of 16,BRAZIL,ARGENTINA
422_14_69,422,2014-09-09,Barcelona,Quarter-Finals,LITHUANIA,TURKEY
422_14_70,422,2014-09-09,Barcelona,Quarter-Finals,SLOVENIA,USA
422_14_71,422,2014-09-10,Madrid,Quarter-Finals,SERBIA,BRAZIL
422_14_72,422,2014-09-10,Madrid,Quarter-Finals,FRANCE,SPAIN
422_14_73,422,2014-09-11,Barcelona,Semi-Finals,USA,LITHUANIA
422_14_74,422,2014-09-12,Madrid,Semi-Finals,FRANCE,SERBIA
422_14_75,422,2014-09-13,Madrid,3rd Place,LITHUANIA,FRANCE
422_14_76,422,2014-09-14,Madrid,Final,USA,SERBIA
470_15_01,470,2015-08-19,Radès,Group Phase,EGYPT,GABON
470_15_02,470,2015-08-19,Radès,Group Phase,NIGERIA,CAF
470_15_03,470,2015-08-19,Radès,Group Phase,MALI,CAMEROON
470_15_04,470,2015-08-19,Radès,Group Phase,TUNISIA,UGANDA
470_15_05,470,2015-08-20,Radès,Group Phase,COTE D'IVOIRE,CAPE VERDE
470_15_06,470,2015-08-20,Radès,Group Phase,ANGOLA,MOZAMBIQUE
470_15_07,470,2015-08-20,Radès,Group Phase,ALGERIA,ZIMBABWE
470_15_08,470,2015-08-20,Radès,Group Phase,SENEGAL,MOROCCO
470_15_09,470,2015-08-21,Radès,Group Phase,GABON,MALI
470_15_10,470,2015-08-21,Radès,Group Phase,UGANDA,NIGERIA
470_15_11,470,2015-08-21,Radès,Group Phase,EGYPT,CAMEROON
470_15_12,470,2015-08-21,Radès,Group Phase,TUNISIA,CAF
470_15_13,470,2015-08-22,Radès,Group Phase,COTE D'IVOIRE,ZIMBABWE
470_15_14,470,2015-08-22,Radès,Group Phase,MOZAMBIQUE,SENEGAL
470_15_15,470,2015-08-22,Radès,Group Phase,CAPE VERDE,ALGERIA
470_15_16,470,2015-08-22,Radès,Group Phase,ANGOLA,MOROCCO
470_15_17,470,2015-08-23,Radès,Group Phase,CAMEROON,GABON
470_15_18,470,2015-08-23,Radès,Group Phase,CAF,UGANDA
470_15_19,470,2015-08-23,Radès,Group Phase,MALI,EGYPT
470_15_20,470,2015-08-23,Radès,Group Phase,NIGERIA,TUNISIA
470_15_21,470,2015-08-24,Radès,Group Phase,ZIMBABWE,CAPE VERDE
470_15_22,470,2015-08-24,Radès,Group Phase,MOROCCO,MOZAMBIQUE
470_15_23,470,2015-08-24,Radès,Group Phase,ALGERIA,COTE D'IVOIRE
470_15_24,470,2015-08-24,Radès,Group Phase,SENEGAL,ANGOLA
470_15_25,470,2015-08-25,Radès,Round of 16,EGYPT,ZIMBABWE
470_15_26,470,2015-08-25,Radès,Round of 16,ANGOLA,CAF
470_15_27,470,2015-08-25,Radès,Round of 16,COTE D'IVOIRE,MALI
