,ID,GameID,Team,PlayerID,Number,Name_x,Min,FGM,FGA,FGP,FGM2,FGA2,FGP2,FGM3,FGA3,FGP3,FTM,FTA,FTP,Oreb,Dreb,Reb,Ast,PF,TO,STL,BLK,PTS,TournamentID,Date,Location,Round of 16,HomeTeam,AwayTeam,TournamentName,AgeGroup,Name_y,Birthday
0,374975,422_14_01,CROATIA,1844,4,ante tomic,25,3,4,75.0,3,4,75.0,0,0,0.0,2,2,100.0,3,8,11,4,0,5,1,0,8,422,2014-08-30,Sevilla,Group Phase,CROATIA,PHILIPPINES,2014 FIBA Basketball World Cup,Men,ante tomic,1987-02-17
1,375352,422_14_15,CROATIA,1844,4,ante tomic,21,0,3,0.0,0,3,0.0,0,0,0.0,5,6,83.3,1,5,6,4,2,1,0,0,5,422,2014-08-31,Sevilla,Group Phase,ARGENTINA,CROATIA,2014 FIBA Basketball World Cup,Men,ante tomic,1987-02-17
2,375599,422_14_25,CROATIA,1844,4,ante tomic,25,1,3,33.3,1,3,33.3,0,0,0.0,12,14,85.7,3,6,9,2,2,1,0,0,14,422,2014-09-01,Sevilla,Group Phase,CROATIA,SENEGAL,2014 FIBA Basketball World Cup,Men,ante tomic,1987-02-17
3,376158,422_14_46,CROATIA,1844,4,ante tomic,23,4,7,57.1,4,7,57.1,0,0,0.0,1,4,25.0,3,6,9,0,0,1,0,0,9,422,2014-09-03,Sevilla,Group Phase,GREECE,CROATIA,2014 FIBA Basketball World Cup,Men,ante tomic,1987-02-17
4,376405,422_14_56,CROATIA,1844,4,ante tomic,13,3,4,75.0,3,4,75.0,0,0,0.0,1,4,25.0,0,2,2,5,4,1,0,0,7,422,2014-09-04,Sevilla,Group Phase,CROATIA,PUERTO RICO,2014 FIBA Basketball World Cup,Men,ante tomic,1987-02-17
5,376574,422_14_62,CROATIA,1844,4,ante tomic,26,7,10,70.0,7,10,70.0,0,0,0.0,3,4,75.0,3,3,6,0,1,1,1,0,17,422,2014-09-06,Madrid,Round of 16,FRANCE,CROATIA,2014 FIBA Basketball World Cup,Men,ante tomic,1987-02-17
6,437502,497_15_11,CROATIA,1844,4,ante tomic,11,2,6,33.3,2,6,33.3,0,0,0.0,1,2,50.0,2,2,4,0,3,2,0,0,5,497,2015-09-05,Zagreb / Arena of Hrvatski Dragovoljac,Group Phase,CROATIA,SLOVENIA,2015 EuroBasket,Men,ante tomic,1987-02-17
7,437827,497_15_23,CROATIA,1844,4,ante tomic,27,3,8,37.5,3,8,37.5,0,0,0.0,3,4,75.0,0,5,5,0,0,1,0,0,9,497,2015-09-06,Zagreb / Arena of Hrvatski Dragovoljac,Group Phase,GREECE,CROATIA,2015 EuroBasket,Men,ante tomic,1987-02-17
8,438152,497_15_36,CROATIA,1844,4,ante tomic,21,4,5,80.0,4,5,80.0,0,0,0.0,2,4,50.0,4,5,9,2,2,2,1,1,10,497,2015-09-08,Zagreb / Arena of Hrvatski Dragovoljac,Group Phase,CROATIA,MKD,2015 EuroBasket,Men,ante tomic,1987-02-17
9,438451,497_15_47,CROATIA,1844,4,ante tomic,25,4,7,57.1,4,7,57.1,0,0,0.0,5,6,83.3,3,5,8,3,1,2,1,0,13,497,2015-09-09,Zagreb / Arena of Hrvatski Dragovoljac,Group Phase,NETHERLANDS,CROATIA,2015 EuroBasket,Men,ante tomic,1987-02-17
10,438659,497_15_55,CROATIA,1844,4,ante tomic,20,4,8,50.0,4,8,50.0,0,0,0.0,2,2,100.0,1,4,5,2,4,1,0,2,10,497,2015-09-10,Zagreb / Arena of Hrvatski Dragovoljac,Group Phase,GEORGIA,CROATIA,2015 EuroBasket,Men,ante tomic,1987-02-17
11,438906,497_15_65,CROATIA,1844,4,ante tomic,15,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,1,0,0,0,497,2015-09-13,Lille / Pierre Mauroy Stadium,Round of 16,CROATIA,CZECH REPUBLIC,2015 EuroBasket,Men,ante tomic,1987-02-17
