TournamentID,TournamentName,AgeGroup
422,2014 FIBA Basketball World Cup,Men
470,2015 Afrobasket ,Men
476,2015 FIBA Asia Championship,Men
480,2015 FIBA Americas Championship for Men/Olympic Qualifying Tournament,Men
497,2015 EuroBasket,Men
498,2015 EuroBasket,Men
499,2015 EuroBasket,Men
519,2015 FIBA Oceania Championship,Men
523,2016 Olympic Games: Tournament for Men,Men
525,2016 FIBA Olympic Qualifying Tournament,Men
526,2016 FIBA Olympic Qualifying Tournament,Men
527,2016 FIBA Olympic Qualifying Tournament,Men
